Date : 2023-09-20 22:32:51
Directory : c:\Users\aliba\Desktop\saranel\saranel_application
Total : 77 files,  6745 codes, 586 comments, 607 blanks, all 7938 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| macos\Runner\Base.lproj                                                                                          |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                             |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                              |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                          |         11 |        466 |         94 |        149 |        709 |
| windows\flutter                                                                                                  |          3 |         38 |          9 |         17 |         64 |
| windows\runner                                                                                                   |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                         | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\aliba\Desktop\saranel\saranel_application\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\aliba\Desktop\saranel\saranel_application\analysis_options.yaml                                         | YAML       |          2 |         24 |          4 |         30 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\build.gradle                                      | Gradle     |         57 |          5 |         14 |         76 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\google-services.json                              | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\AndroidManifest.xml                      | XML        |         28 |          6 |          1 |         35 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          7 |          0 |          2 |          9 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\drawable\launch_background.xml       | XML        |          7 |          0 |          2 |          9 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\build.gradle                                          | Gradle     |         27 |          0 |          5 |         32 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\aliba\Desktop\saranel\saranel_application\android\settings.gradle                                       | Gradle     |          8 |          0 |          4 |         12 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\aliba\Desktop\saranel\saranel_application\ios\firebase_app_id_file.json                                 | JSON       |          7 |          0 |          0 |          7 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\bakimmodu_screen\bakimmodu.dart                           | Dart       |         70 |          0 |          7 |         77 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\belediye.dart                             | Dart       |        192 |          0 |          9 |        201 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\bireyselyardim.dart                       | Dart       |        343 |          4 |         30 |        377 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\resmikurum.dart                           | Dart       |        361 |          0 |         59 |        420 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\saranelhk.dart                            | Dart       |        126 |          0 |          6 |        132 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\sma_kampanyalari.dart                     | Dart       |        483 |          5 |         15 |        503 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\stk.dart                                  | Dart       |        280 |          5 |         17 |        302 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\firebase_options.dart                                     | Dart       |         66 |         12 |          6 |         84 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\genelayarlar\custompageGecis.dart                         | Dart       |         39 |          0 |          2 |         41 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\genelayarlar\custompagerout.dart                          | Dart       |         40 |          0 |          3 |         43 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\main.dart                                                 | Dart       |         54 |         18 |          8 |         80 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\anasayfa.dart                                | Dart       |        710 |         52 |          6 |        768 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\bilgi.dart                                   | Dart       |        205 |         62 |          7 |        274 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\bireyselYardimBasvuru.dart                   | Dart       |        377 |          2 |         10 |        389 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\main_page.dart                               | Dart       |          0 |         50 |          6 |         56 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\main_screens\smaekle.dart                                 | Dart       |        747 |          6 |         21 |        774 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\models\belediyelink.dart                                  | Dart       |         91 |          0 |         17 |        108 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\models\link.dart                                          | Dart       |        217 |         94 |         10 |        321 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\acikriza.dart                            | Dart       |         70 |          0 |         12 |         82 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\bagisyap.dart                            | Dart       |        175 |          1 |          6 |        182 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\gizlilik.dart                            | Dart       |         85 |          0 |         19 |        104 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\iletisim.dart                            | Dart       |         82 |          0 |          3 |         85 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\kosullar.dart                            | Dart       |         89 |          0 |         15 |        104 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\lisanslar.dart                           | Dart       |         65 |          0 |          5 |         70 |
| c:\Users\aliba\Desktop\saranel\saranel_application\lib\settings_screens\sss.dart                                 | Dart       |        149 |          0 |          9 |        158 |
| c:\Users\aliba\Desktop\saranel\saranel_application\linux\flutter\generated_plugin_registrant.cc                  | C++        |         11 |          4 |          5 |         20 |
| c:\Users\aliba\Desktop\saranel\saranel_application\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\aliba\Desktop\saranel\saranel_application\linux\flutter\generated_plugins.cmake                         | CMake      |         20 |          0 |          6 |         26 |
| c:\Users\aliba\Desktop\saranel\saranel_application\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\aliba\Desktop\saranel\saranel_application\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| c:\Users\aliba\Desktop\saranel\saranel_application\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         22 |          3 |          4 |         29 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\aliba\Desktop\saranel\saranel_application\macos\firebase_app_id_file.json                               | JSON       |          7 |          0 |          0 |          7 |
| c:\Users\aliba\Desktop\saranel\saranel_application\pubspec.yaml                                                  | YAML       |         34 |         58 |         18 |        110 |
| c:\Users\aliba\Desktop\saranel\saranel_application\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\aliba\Desktop\saranel\saranel_application\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\aliba\Desktop\saranel\saranel_application\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\flutter\generated_plugin_registrant.cc                | C++        |         12 |          4 |          5 |         21 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\flutter\generated_plugins.cmake                       | CMake      |         21 |          0 |          6 |         27 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\aliba\Desktop\saranel\saranel_application\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                            |            |      6,745 |        586 |        607 |      7,938 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
